Title,Location,Details,Size,Timescale,Features,Quote,Quote Attribution
SAS,"La Touche House IFSC, Dublin 1","SAS is a global market leader in business analytics software and services and is listed as being in the Top-100 Best Companies to work for worldwide. We were delighted to complete their prestigious new 1,300m2 HQ office in Dublin’s IFSC complex.

Works were undertaken in a multi-tenanted, fully occupied building with extensive noise restriction in place to avoid disruption to other businesses on-site.

The scope included complete demolitions of the existing floor plate with subsequent re-fit of partitions, glazing, managers offices, corporate meeting rooms, multiple floor finishes, decorations and a bespoke branding and graphics package. The brief also extended to the supply & installation of all new operator workstations, cellular office stations and boardroom furniture with completion of all M&E, IT and A/V services.

The completed project truly reflects SAS’s strong corporate identity through the entire space and we were delighted to hand over the finished article to the Client’s exacting standards and expectations.","1,300m2","1-week Pre-construction
8 weeks on-site","Fully occupied Building Environment
Management of Client Direct Vend Packages
Complete M&E, IT and A/V service installations
Corporate Brand Package co-ordination & implementation
Extensive corporate office cellularisation","I can highly recommend Sonica Fit Out, their professionalism and flexible approach in challenging circumstances resulted in a smooth and timely delivery of SAS project, the entire team were a pleasure to work with.","Karen Chisman, Head of Corporate Services at SAS "
Calvin Klein,Kildare Village,"Calvin Klein is one of the leading fashion design and marketing studios in the world. They are a global lifestyle brand that exemplifies bold, progressive ideals and a seductive, and often minimal, aesthetic. After nearly 50 years of trading, Calvin Klein continues to be a cultural catalyst across the globe today.

We were delighted to be selected by Calvin Klein to carry out the complete relocation and fitout of their new flagship stores (CK Jeans & CK Underwear) in Irelands Premier Shopping destination, Kildare Village. Our brief was to create a completed space that combines the retail experience with the architectural aesthetic of this refined fashion collection.

Works were undertaken concurrently in both stores and included the full strip out of the existing premises with subsequent re-installation of new partitions and floor finishes, complete M&E & IT rework, co-ordination of a bespoke high-end joinery package and management of the internal and external CK signage install. In addition, the relocation to a temporary “Go Live” space while our refurbishment works were progressing (as well as relocation back to stores upon completion) also formed part of our project brief.

The finished product succeeds in promoting the Calvin Klein identity within Kildare Village and provides a top of the range retail experience for shoppers within both stores.",400m2,"1-week Pre-construction
5 weeks on-site","Extensive feature joinery package
Bespoke feature lighting installation
Full move management
Extensive floor finishes
POS selection, install and commisisoning
Construction of all fixed merchandise and sales displays",Our goal is always to create a space that combines the retail experience with the architectural aesthetic our fashion collection represents. We had the tremendous pleasure to collaborate with Sonica Fitout to accomplish this in our new Kildare Village stores - the finished results speak entirely for themselves.,"Antonios Krantidis, CK Project Manager"
100 Stephen’s Green,Dublin 2,"100 St. Stephen’s Green, a red brick Georgian located in the iconic South West corner of the Green, was originally sub-divided into six dated apartments. Sonica were engaged by property owners DAVY to develop the building into a prestigious single tenancy office above a 1 bedroom apartment in the basement.

The nature of the premises, and it’s status as a listed building, meant the project had to be handled with the utmost care. Working hand-in-hand with Neasa Donnellan Architects and Dublin City Council, each element of the build was scrutinised for compliance of FSC, DAC, heritage protection and quality.

The work scope included full glazing replacement with all new sliding sash windows with slimlite double glazed panels in keeping with the original, full facade restoration and re-pointing, roof replacement, extensive structural works, removal of the existing basement slab and replacement with complete tanking system and new drainage and fire protection to existing staircore as per current regulations.

Internally the high-end office interiors include full power and data cabling and floor boxes throughout, bespoke joinery and panelling in every space, restored original Georgian features on all floors, newly landscaped rear yard, high quality floor finishes and a luxury, own door, 1-bed 2-bath self contained apartment in the basement.","350m2
","1-week Pre-construction
18 weeks on-site","Protected Georgian structure
Hardwood sash windows with Slimlite glazing
Facade and roof restoration
Full internal strip out
Data cabling throughout to central rack location
New gas fired rad heating system
Hand made crown mouldings from sample of original
Period correct feature joinery throughout
Protection and restoration of existing Georgian features
Luxury floor finishes
Self contained apartment","With Sonica at the helm, the project ran seamlessly on-site - any unforeseen events were dealt with quickly and programme was never compromised. We were very impressed with the quality of their finishes and found the whole Company to be very well organised and efficient. We would be very happy to work with them again.
","Neasa Donnellan
Project Architect
"
City North Hotel,"M1 Corridor, North Co. Dublin","The City North Hotel & Conference Centre is a prestigious 4-Star Hotel located 30-mins North of Dublin City Center which offers luxury accommodation and an exquisite Ballroom for Conferences, Events and Weddings.

As part of the Hotel’s recent redevelopment, we were appointed to manage the extensive restructure of all of their main front of house Client facing spaces comprising of a new warm and welcoming Reception area, a fully refitted Hotel Bar and Lounge area, a Restaurant and an exclusive new Conference & Ballroom facility.

Works were carried out in a live working environment (the hotel remained fully functional during the refit) and was divided into multiple phases to ensure minimal restriction & disruption to guests during construction. All phases included substantial demolition works, full M&E installations, new partitions and feature ceilings, bespoke lighting with textured high-end joinery and exquisite segmented hardwood flooring.

Due to the nature of the works, the project required extensive management of multiple on-site trades and was completed against an aggressive programme to coincide with media published announcements on the rebrand and official launch date.","1,500m2","1 Week Pre-construction
12 Weeks on-site","High-end joinery package
Exquisite segmented flooring
Management of multiple trades
Project multi-phasing
Full M&E installation",,
RKD Interiors,"Ballsbridge, Dublin 4","RKD Interiors is a market leading interior architecture firm based in Dublin. The team, led by Justin Treacy, consists of the very best in creative Architects and Interior Designers who work collaboratively with the in-house support team of Designers, Technicians & CAD / BIM Coordinators and the wider resource and expertise of RKD Architects. At the core of their philosophy is a practical and pragmatic approach to delivering the best environments for the most appropriate capital outlay. Having worked with RKD Interiors on numerous occasions in the past, we were aware of the exacting standards that were expected from the outset on this collaboration.

The project was pitched as a real shop window fitout to showcase RKD’s standard and design capability to prospective visiting RKD Clients and we approached the project like any other: to deliver best in market product with zero defects at handover. Covering 6,000 sq ft over 3 floors, the work scope comprised of inspirational studios to the 1st and 2nd floors, with areas designated for collaboration and huddle meetings allowing the designers to get creative with a bespoke staff café, meeting rooms and social spaces based on the Ground Floor.

The overall brief was to produce a comfortable, modern and above all functional workspace with a professional design that exceeds expectations even in an area such as Baggot St. where high end eateries and businesses are the norm. One of the key features, as part of RKD interiors on-going commitment to a greener work environment, was to provide ample, secure bike storage for staff. Not only has this been achieved but it has also become a real design focal point, which upon entry sets a modern and progressive tone. Other features include the herringbone flooring which seamlessly combines durability with design, the increasingly popular crittal glazing and bespoke joinery throughout. In addition, you will find numerous design touches, as you would expect of an RKD interiors design, such as the exposed swag cabling to the lights in the cafe to give the illusion of extra height, the plywood routered RKD logo at entry with integrated shelving and the comfortable lounge located midway through the ground floor.

The project was delivered in 5 weeks following a 1-week pre-construction and mobilisation period.",600m2 over 3 floors,"1-week pre-construction
5 weeks on-site","Bespoke feature joinery and glazed partition packages
Numerous floor finishes running seamlessly throughout
Staff “Cafe”
Internal, secure bike park
2 floors of bright, modern studio space
M&E and IT upgrades throughout
Turnkey furniture package","Working with Sonica was a great experience. We would like to thank the team for delivering for such demanding taskmasters, for working with us to realise and achieve our design in a very tight timeframe, and for making the whole delivery process a thoroughly enjoyable and fun experience for us all.","Liat Greenhot, RKD Interiors"
Fitter Faster Stronger,Leeson Street,"Established only 3-years ago, Fitter Faster Stronger (FFS) is now one of the leading specialist facilities in Dublin providing personal one-on-one or group training across a range of classes and exercise types, from total body strength to full metabolic conditioning.

Having successfully completed FFS’s original gym refurbishment in 2016, and due to their phenomenal expansion and growth, we were delighted to be appointed by the Management Team in FFS to develop and complete their 2nd bespoke premises inside of 18-months.  Working with Courtney McDonnell Design, we were delighted to take on the brief of creating a new space which motivates, engages and pushes personal goals to the highest level whilst also realising the strong branding the FFS model carries.

The space is divided into three main parts – the gym, utility space and break & members areas.  Works included the strip out & demolitions of the entire old premises followed by full M&E installation (to include a DMX programmable lighting system defined by gym instructors to suit mood or event), bespoke feature flooring across different surfaces, extensive landscaping works at the rear gardens to become an outdoor training area, complete joinery co-ordination of utility space and members area and a personalised graphics package to enhance the members workouts and provide guidance through the whole space.
","Complete Basement to Georgian Building, Lesson St.","1-week Pre-construction
6 weeks on-site","Complete strip out of all incumbent areas
Full M&E installation with programmable DMX ambiance lighting
Bespoke feature flooring
Extensive landscaping works to external gym area
D&B joinery & upholstery package
Graphics co-ord and installation","The level of professionalism and proficiency on the first project we carried out with Sonica Fitout really impressed us, hence the reason why we went back to them for our 2nd premises. The entire fitout was completed on an aggressive timeline with multiple moving parts, but the team here at FFS are once again delighted with the finished product that was achieved, it looks awesome!","Rory McInerney, Managing Director, FFS"
Private Client,"East Point Business Park, Dublin 3","Sonica Fitout was appointed by CBRE to act as Main Contractor for the refurbishment and upgrade of this 5th floor Corporate office space located at East Point Business Park in Dublin.

The Client’s fitout requirements were driven by an internal review to develop new ways of working. The challenge was to take these findings and ideas and bring them into a layout scheme that realised all their requirements whilst also increasing headcount within the floor space. Our project brief then consisted of the demolition and re-build of the existing layouts, installation of new branded specialist joinery items throughout the floor, a vibrant colour theming and graphics package co-ordination, installation of new glazed partitions including folding walls with modifications to the existing data infrastructure and the mechanical and electrical services of the space.

The completed office space now promotes the Client’s identity and provides a new fresh working space for staff.","1,500m2","2-week Pre-Construction
5 weeks Build Management On-Site","Extensive Feature Joinery Package
Data Infrastructure Installation
M&E Services Modification
Numerous Floor Finishes running seamlessly throughout
Corporate Signage & Brand Identity",,
M & S Simply Food,Dublin 8,"M&S Simply Food are an off-shoot of the famous high street British multinational specialising on high quality grab-and-go ready meal ranges and every day food selections.

This project consisted of the fitout from shell and core of the new M&S Simply Food outlet in Dublin’s Heuston Train Station. Works revolved around the installation of new M&E services, flooring, internal partitions, decorations, PoS counters, feature joinery, product refrigeration, the co-ordination of Client direct vendors and the installation of internal and external corporate graphics.

A carefully considered site management & works execution plan was key to the success of the project with close co-ordination with Station management while works progressed in the busy station.",200m2,"1-week Pre-construction
5 weeks on-site","New M&E services installation
Feature joinery package
M&S corporate graphics install
Exposed ceilings throughout
LIVE station working environment
Client Direct vendor management","Just a quick note to compliment and acknowledge the efforts of your Team on the Heuston Station M&S project. These types of projects are not simple, particularly from a co-ordination view point, but your Team demonstrated professionalism and proactive thinking in dealing with any issue that arose and delivered the project on programme. It has been great working with you right through the project and we look forward to working with Sonica again in the future.","Stephen Crean, Linesight PM"
Wipro,Ballsbridge,"Since entering the Irish market in 2015, WIPRO have gone from strength to strength securing substantial projects for their ever increasing Client base. This success has been met with a rapid increase in head count and exponential office space requirement.

Having just completed their initial 30k sq.ft. office in Dublin’s Elm Park in 2015, we were delighted to build upon and advance the great working relationship we had developed with both their International and Local Teams when they appointed us again as their Turnkey D&B Fitout Specialist for their new expansion offices in Ballsbridge.

The brief was to capture the look and feel of what we had been previously delivered for them on the Elm Park project, but to take that blue print and move it on to the next level again – no easy task if you were to look at the completed space in Elm Park!

At 20k sq.ft. and running concurrently over two floors, works were undertaken in a multi-tenanted office development with continual intensive daily co-ordination with the sitting Campus Management Team. Added to the time sensitive nature of the project was the Client’s “not-to-exceed” occupation date which was a key consideration in our aggressive construction programme.

Due to the high degree of cellularisation to form the various offices, meeting spaces, VC Rooms & Executive Boardrooms, the mechanical scope required considerable addition to the primary Landlord ventilation provisions via. intensive upgrades, modelling and building control integration.

The project scope also included a large specialist joinery component, an extensive canteen space with exposed ceilings and feature lighting throughout, bespoke reception area, feature hard and soft floorings, substantial active IT solution, a fully redundant IT backbone install with UPS back up to main comms room, high-end Corporate level access control and security install, A/V delivery and a full furniture installation across the complete dual floor plate.

We wish Wipro continued success in their newest home and look forward to representing them again in their next round of expansions.","2,000m2","6 weeks design
4 weeks pre-con
10 weeks on-site","Sonica PM
Full Design Realisation and Co-ordination with International Design Team
Landlord Approval and Grant of Licence to Alter
Local Design Team Appointment & Management as Lead Consultant
Complete Project Financial Control & Package Management
Client Direct Vendor Engagement and Management
Staff Migration & Move Management","The bittersweet time has come to say thank you and farewell (albeit for now!) to the formidable & fantastic team that is Sonica. We can’t thank you enough for your dedication, enthusiasm and flexibility over the last year. We have worked together through different time zones, deadlines and (at times!) style preferences to ultimately create two unique Office environments which epitomise the Spirit of Wipro.

Thanks for sharing your vision with us and for the friendship that we’ve formed.","Trish Buckley, Admin. Manager, WIPRO Europe"
Anya Hindmarch,Kildare Village,"Founded in 1987, Anya Hindmarch has grown into a global brand with more than 45 stores including flagship outlets in New York, London, Tokyo and LA. Known for blending wit and creativity with the finest craftsmanship and innovative leatherwork techniques, they are stocked in many of the world’s best retail stores, from Barney’s in New York to BoonTheShop in Korea.

Following receipt of our outline brief, we were appointed to create a unique, bespoke new store for the brand in Kildare Village coupled with the strip out, surrender and relocation of the existing store within the campus. The new store was a complete turn key fitout from “grey box” to open for business. The works comprised of new flooring details, changing room marketing and sales displays and complete joinery coordination as well as mechanical and electrical installation.

The completed project reflects Anya Hindmarch’s extraordinary identity with strong emphasis on minimalistic detail and a high level of finishes throughout.",100m2,"1-week pre-construction
8 weeks on-site","Extensive feature joinery package
Stunning solid oak herringbone flooring
Bespoke glazed partition solution
M&E and IT upgrades throughout
Live Building working environment
Turnkey furniture package and Client migration",,
Private Client,Citywest,"We are delighted to showcase the successful completion of a new 30k sq.ft. Corporate HQ office in Dublin’s Citywest Business Campus for a Private Sonica Client, the results of which are absolutely stunning.

Our brief took the project from an existing Landlord CAT-A finish (which was fully stripped out) to their fitted out Corporate HQ in 14 weeks from appointment.

Works were undertaken in a multi-tenanted office development with continual intensive daily co-ordination with the sitting Campus Management Team. Added to the time sensitive nature of the project was the Client’s “not-to-exceed” occupation date which was a key consideration in our aggressive construction programme.

Due to the high degree of cellularisation to form the various offices, meeting spaces and executive boardrooms, the mechanical scope required considerable addition to the primary Landlord ventilation provisions via. intensive upgrades, modelling and building control integration.

The project scope also included a large specialist joinery component, an extensive “Town Hall” meeting space with feature exposed ceilings and feature lighting throughout, bespoke reception area, feature hard and soft floorings, substantial active IT solution, a fully redundant IT backbone install with UPS back up to main comms room, gymnasium installation, high-end Corporate level access control and security install, A/V delivery and a full furniture installation across the complete floor plate.","3,000m2","4 weeks pre-construction
10 weeks on site","Design and VE development to suit budget parameters
International collaboration with multiple project stakeholders
Co-ordination with local Team on relocation deliverables
Comms room commissioned and complete 2 weeks before handover to allow Client IT access.",,
AIG,"IFSC, Dublin","AIG Europe Limited is a provider of innovative products and services, including car, property, travel, health and identity theft insurance products to more than half of the country’s top 100 companies as well as many public and private sector organisations and tens of thousands of individuals. They are also the proud main sponsor of the Dublin GAA Team #BackingEveryStep

Working in their Irish HQ offices in the IFSC, our brief comprised of the removal and replacement of the complete existing building ventilation system followed by retro-install of a new AC system with associated architectural and electrical works. The brief also included a full upgrade of all WCs throughout the building, installation of new mechanical chilling plant at roof level, a fixed line system for roof access, Landlord common area refurbishment and a complete re-design and fitout of the 3rd Floor office space. All works were conducted within a live, fully occupied building environment.

The new office design placed emphasis on increased Team collaboration with all new open plan workstations, meeting rooms, offices, boardrooms, flexible spaces, staff kitchens & canteen areas, breakout areas and a number of bespoke “Tech Bars” all part of the required brief.

Effective use of space was an issue in the previous office so the new office was designed with ample storage capabilities to reduce clutter. The overall look and feel of the completed offices are fresh, professional and welcoming with spectacular views across Dublin city.

The whole project was completed within the agreed tender time frame of 22 weeks.","8,000m2",22 weeks on site,"Variety of work settings and collaboration spaces
Extensive M&E Remodel & Upgrade
High quality joinery
Works in fully occupied building over 5-floor plates
Management of Client Direct vendors into master programme of works","On behalf of the PM team, I would like to convey our thanks to the Sonica team for a job well done. A special word of thanks to your Construction Manager, Ray McCaul, for his 100% commitment in achieving PC. This was a challenging project on a number of fronts and this achievement is not to be underestimated.","Allan Murphy, Director, Scott-Murphy. Client PM"
